,fips_code,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,Hospitals,Local_Hospital
880,19185,0.0,0.0,0.0,0.0,0.0,no
881,19187,44.0,2988.0,15094.0,378370.0,1.0,yes
882,19189,0.0,0.0,0.0,0.0,0.0,no
883,19191,0.0,0.0,0.0,0.0,0.0,no
884,19193,379.0,14582.0,74475.0,1076922.0,2.0,yes
885,19195,0.0,0.0,0.0,0.0,0.0,no
886,19197,0.0,0.0,0.0,0.0,0.0,no
887,20001,0.0,0.0,0.0,0.0,0.0,no
888,20003,0.0,0.0,0.0,0.0,0.0,no
889,20005,0.0,0.0,0.0,0.0,0.0,no
890,20007,0.0,0.0,0.0,0.0,0.0,no
891,20009,29.0,1158.0,3963.0,138846.0,1.0,yes
892,20011,0.0,0.0,0.0,0.0,0.0,no
893,20013,0.0,0.0,0.0,0.0,0.0,no
894,20015,78.0,2834.0,11660.0,247839.0,2.0,yes
895,20017,0.0,0.0,0.0,0.0,0.0,no
896,20019,0.0,0.0,0.0,0.0,0.0,no
897,20021,36.0,386.0,967.0,173935.0,1.0,yes
898,20023,0.0,0.0,0.0,0.0,0.0,no
899,20025,0.0,0.0,0.0,0.0,0.0,no
900,20027,0.0,0.0,0.0,0.0,0.0,no
901,20029,0.0,0.0,0.0,0.0,0.0,no
902,20031,0.0,0.0,0.0,0.0,0.0,no
903,20033,0.0,0.0,0.0,0.0,0.0,no
904,20035,44.0,458.0,2149.0,71994.0,1.0,yes
905,20037,76.0,3280.0,11664.0,333711.0,1.0,yes
906,20039,0.0,0.0,0.0,0.0,0.0,no
907,20041,0.0,0.0,0.0,0.0,0.0,no
908,20043,0.0,0.0,0.0,0.0,0.0,no
909,20045,136.0,5207.0,20508.0,1235241.0,1.0,yes
910,20047,0.0,0.0,0.0,0.0,0.0,no
911,20049,0.0,0.0,0.0,0.0,0.0,no
912,20051,144.0,4316.0,22104.0,647329.0,1.0,yes
913,20053,0.0,0.0,0.0,0.0,0.0,no
914,20055,100.0,2888.0,12471.0,327294.0,1.0,yes
915,20057,89.0,1531.0,4517.0,165588.0,1.0,yes
916,20059,36.0,1149.0,3765.0,294855.0,1.0,yes
917,20061,49.0,769.0,3399.0,117778.0,2.0,yes
918,20063,0.0,0.0,0.0,0.0,0.0,no
919,20065,0.0,0.0,0.0,0.0,0.0,no
920,20067,26.0,178.0,650.0,25495.0,1.0,yes
921,20069,0.0,0.0,0.0,0.0,0.0,no
922,20071,0.0,0.0,0.0,0.0,0.0,no
923,20073,0.0,0.0,0.0,0.0,0.0,no
924,20075,0.0,0.0,0.0,0.0,0.0,no
925,20077,0.0,0.0,0.0,0.0,0.0,no
926,20079,99.0,2443.0,12632.0,252952.0,1.0,yes
927,20081,0.0,0.0,0.0,0.0,0.0,no
928,20083,0.0,0.0,0.0,0.0,0.0,no
929,20085,0.0,0.0,0.0,0.0,0.0,no
930,20087,0.0,0.0,0.0,0.0,0.0,no
931,20089,0.0,0.0,0.0,0.0,0.0,no
932,20091,1307.0,57011.0,261725.0,9518010.0,9.0,yes
933,20093,0.0,0.0,0.0,0.0,0.0,no
934,20095,0.0,0.0,0.0,0.0,0.0,no
935,20097,0.0,0.0,0.0,0.0,0.0,no
936,20099,56.0,1348.0,5213.0,239705.0,1.0,yes
937,20101,0.0,0.0,0.0,0.0,0.0,no
938,20103,52.0,1041.0,3012.0,164954.0,2.0,yes
939,20105,0.0,0.0,0.0,0.0,0.0,no
940,20107,0.0,0.0,0.0,0.0,0.0,no
941,20109,0.0,0.0,0.0,0.0,0.0,no
942,20111,0.0,0.0,0.0,0.0,0.0,no
943,20113,52.0,995.0,4347.0,113457.0,2.0,yes
944,20115,0.0,0.0,0.0,0.0,0.0,no
945,20117,0.0,0.0,0.0,0.0,0.0,no
946,20119,0.0,0.0,0.0,0.0,0.0,no
947,20121,18.0,515.0,1202.0,91608.0,1.0,yes
948,20123,0.0,0.0,0.0,0.0,0.0,no
949,20125,47.0,1148.0,4689.0,128872.0,1.0,yes
950,20127,0.0,0.0,0.0,0.0,0.0,no
951,20129,26.0,138.0,527.0,9473.0,1.0,yes
952,20131,0.0,0.0,0.0,0.0,0.0,no
953,20133,0.0,0.0,0.0,0.0,0.0,no
